Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Speed_limit,Junction_Detail,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Urban_or_Rural_Area,Time_period,Vehicle_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Casualty_Type
-0.311517,51.420929,1,2,1.0,1.0,3,30.0,3.0,1,1,1,1,1,0,2,0,2,2,38.0,6,3,1,1,0
-0.10640799999999999,51.507991,1,2,2.0,1.0,1,20.0,3.0,1,1,1,1,1,0,2,1,0,1,23.0,1,1,1,1,1
-0.18576199999999998,51.501962,1,2,2.0,2.0,3,30.0,3.0,3,1,1,1,1,0,3,1,1,2,16.0,1,1,2,1,7
-0.21234299999999998,51.496525,1,2,2.0,1.0,3,30.0,0.0,1,2,1,1,1,0,5,1,0,1,33.0,1,1,1,1,3
-0.115846,51.460842,1,2,2.0,1.0,2,30.0,6.0,4,2,1,1,1,0,5,1,0,1,43.0,1,1,1,1,1
-0.37296799999999997,51.541308,1,2,3.0,1.0,4,50.0,5.0,1,1,1,1,1,0,4,2,0,2,31.0,1,1,1,1,7
-0.302104,51.48473,1,2,2.0,1.0,3,30.0,0.0,1,2,1,1,1,0,5,1,0,1,24.0,1,1,1,1,4
-0.201846,51.656881,1,2,2.0,1.0,3,30.0,0.0,1,1,1,1,1,0,4,1,0,2,22.0,1,1,1,1,1
-0.351019,51.550084000000005,1,2,2.0,1.0,3,30.0,0.0,1,2,1,1,1,0,5,0,0,1,25.0,1,1,1,1,3
0.17286500000000002,51.586424,1,2,3.0,3.0,2,50.0,6.0,3,1,1,1,1,0,4,1,0,1,54.0,1,1,1,1,7
-0.282314,51.497751,1,2,2.0,1.0,2,30.0,3.0,1,2,1,2,1,0,1,0,0,1,23.0,1,1,1,1,7
-0.32460300000000003,51.483885,1,2,3.0,2.0,2,40.0,6.0,3,1,1,1,1,0,4,2,0,2,38.0,1,1,1,1,7
-0.21602399999999997,51.527695,1,2,2.0,1.0,3,30.0,6.0,4,1,2,2,1,0,4,0,0,1,49.0,1,1,1,1,7
-0.064045,51.514674,1,2,2.0,1.0,2,30.0,0.0,1,2,8,2,1,0,5,1,0,1,32.0,1,1,1,1,3
0.066633,51.55498,1,2,2.0,1.0,2,50.0,9.0,1,2,2,2,1,0,4,0,0,1,45.0,1,1,1,1,7
0.23884499999999997,51.536621000000004,1,2,1.0,1.0,3,50.0,0.0,1,2,7,2,1,1,6,0,2,2,26.0,11,10,1,1,0
-0.079599,51.648471,1,2,2.0,1.0,3,30.0,3.0,1,2,2,2,1,0,5,0,0,1,22.0,1,1,1,1,4
-0.22669499999999998,51.468236,1,2,2.0,1.0,3,30.0,3.0,1,2,1,1,1,0,5,1,0,1,60.0,1,1,1,1,1
-0.250633,51.610138,1,2,1.0,1.0,4,30.0,5.0,1,2,1,1,1,0,1,0,1,1,26.0,1,1,2,1,7
-0.367251,51.471357,1,2,1.0,1.0,3,30.0,9.0,3,1,1,1,5,0,4,0,2,1,16.0,10,10,1,1,0
-0.400516,51.516508,1,2,2.0,2.0,4,30.0,1.0,2,1,1,1,1,0,3,0,0,1,39.0,1,1,1,1,7
